Treatment,Rep #,Control Y/N,Chl_time_1,Chl 1,Nh4_time_1,Nh4 1,pH1,Temp 1,Chl_time_2,Chl_Time_Diff,Chl 2,Nh4_time_2,Nh4_Time_Dif,Nh4 2,pH2,Temp 2,# of Daphnia,size class,date
4,25,N,8:59:00 AM,20.19,9:30:00 AM,14.75,8.5,19.4,2:57:00 PM,358.00,15.97,3:37:00 PM,367.00,13.19,8.7,20,45,s,1_8_2018
4,26,N,9:12:00 AM,22.27,9:56:00 AM,12.76,8.7,19.2,3:13:00 PM,361.00,19.14,3:59:00 PM,363.00,11.32,8.6,20,15,s,1_8_2018
4,27,N,9:47:00 AM,21.83,10:29:00 AM,12.58,8.5,19.1,3:47:00 PM,360.00,21.38,4:30:00 PM,361.00,13.39,8.5,19.8,17,s,1_8_2018
4,28,N,11:42:00 AM,19.27,12:43:00 PM,16.96,8.8,19.2,5:41:00 PM,359.00,19.73,6:39:00 PM,356.00,16.52,8.7,20.1,15,s,1_8_2018
4,29,N,12:01:00 PM,18.51,1:15:00 PM,12.15,8.6,19.4,6:00:00 PM,359.00,17.1,5:24:00 PM,249.00,13.31,8.6,20.1,17,s,1_8_2018
4,30,Y,8:42:00 AM,22.38,9:05:00 AM,14.47,8.9,19.3,2:36:00 PM,354.00,19.49,3:06:00 PM,361.00,16.65,8.8,20,0,s,1_8_2018
4,31,Y,10:30:00 AM,21.21,11:36:00 AM,12.78,8.8,19,4:34:00 PM,364.00,22.76,5:35:00 PM,359.00,12.92,8.6,20.1,0,s,1_8_2018
4,32,Y,11:12:00 AM,22.33,12:07:00 PM,16.33,8.8,19.1,5:09:00 PM,357.00,20.67,6:03:00 PM,356.00,13.7,8.7,20.2,0,s,1_8_2018
5,33,N,9:16:00 AM,3.547,10:05:00 AM,11.08,8.8,19.2,3:16:00 PM,360.00,3.223,4:03:00 PM,358.00,10.42,8.6,20.1,20,s,1_8_2018
5,34,N,9:51:00 AM,3.915,10:40:00 AM,12.62,8.8,18.8,3:49:00 PM,358.00,2.977,4:33:00 PM,353.00,10.36,8.7,20,27,s,1_8_2018
5,35,N,10:18:00 AM,3.05,11:08:00 AM,10.83,8.6,18.9,4:18:00 PM,360.00,2.977,5:03:00 PM,355.00,14.59,8.6,20,33,s,1_8_2018
5,36,N,11:15:00 AM,3.098,12:17:00 PM,11.4,8.6,19.2,5:12:00 PM,357.00,3.5,6:15:00 PM,358.00,10.08,8.6,20.3,13,s,1_8_2018
5,37,N,11:45:00 AM,3.098,12:53:00 PM,13.34,8.7,19.1,5:43:00 PM,358.00,3.017,6:50:00 PM,357.00,15.75,8.7,20.1,18,s,1_8_2018
5,38,Y,8:45:00 AM,3.87,9:08:00 AM,11.82,8.8,19.2,2:42:00 PM,357.00,3.045,3:12:00 PM,364.00,15.81,8.6,19.9,0,s,1_8_2018
5,39,Y,9:01:00 AM,3.677,9:41:00 AM,14.04,8.8,19.2,2:58:00 PM,357.00,3.007,3:44:00 PM,363.00,12.09,8.6,19.8,0,s,1_8_2018
1,1,N,8:25:00 AM,8.473,8:51:00 AM,18.24,8.6,20.1,2:25:00 PM,360.00,3.1,2:51:00 PM,360.00,18.27,8.5,20.6,26,s,2_12_2018
1,2,N,8:55:00 AM,9.428,9:20:00 AM,18.61,8.6,20.1,2:55:00 PM,360.00,4.69,3:19:00 PM,359.00,17.72,8.6,20.7,17,s,2_12_2018
1,3,N,9:28:00 AM,8.456,9:49:00 AM,17.28,8.6,20.2,3:28:00 PM,360.00,4.324,3:48:00 PM,359.00,18.08,8.6,20.8,20,s,2_12_2018
1,4,N,11:28:00 AM,8.949,11:57:00 AM,17.62,8.6,20.2,5:27:00 PM,359.00,6.911,5:58:00 PM,361.00,18.46,8.6,21.1,19,s,2_12_2018
1,5,N,11:58:00 AM,8.852,12:20:00 PM,17.91,8.7,20.02,5:58:00 PM,360.00,7.539,6:18:00 PM,358.00,18.34,8.7,20.9,13,s,2_12_2018
1,6,Y,8:02:00 AM,10.26,8:26:00 AM,19.38,8.6,20.3,1:47:00 PM,345.00,8.883,2:25:00 PM,359.00,17.54,8.5,21.2,0,s,2_12_2018
1,7,Y,10:20:00 AM,8.491,10:58:00 AM,17.98,8.6,20.3,4:20:00 PM,360.00,7.055,4:58:00 PM,360.00,18.1,8.6,21.1,0,s,2_12_2018
1,8,Y,10:51:00 AM,8.464,11:31:00 AM,18.33,8.6,20.3,4:50:00 PM,359.00,6.628,5:29:00 PM,358.00,18.53,8.6,21,0,s,2_12_2018
2,9,N,8:58:00 AM,16.25,9:26:00 AM,19.05,8.6,20.2,2:58:00 PM,360.00,7.732,3:26:00 PM,360.00,18.56,8.5,21,27,s,2_12_2018
2,10,N,9:30:00 AM,18.04,9:57:00 AM,17.84,8.6,20.2,3:30:00 PM,360.00,12.18,3:57:00 PM,360.00,18.06,8.6,20.9,24,s,2_12_2018
2,11,N,10:09:00 AM,17.65,10:27:00 AM,19.44,8.6,20.2,4:08:00 PM,359.00,14.19,4:26:00 PM,359.00,18.39,8.6,21,31,s,2_12_2018
2,12,N,11:32:00 AM,17.91,12:04:00 PM,18.44,8.6,20.3,5:30:00 PM,358.00,14.05,6:04:00 PM,360.00,19.07,8.6,21.1,25,s,2_12_2018
2,13,N,12:01:00 PM,16.06,12:28:00 PM,18.86,8.6,20.2,6:00:00 PM,359.00,16.24,6:25:00 PM,357.00,18.45,8.6,21.1,9,s,2_12_2018
2,14,Y,8:07:00 AM,16.72,8:32:00 AM,19.83,8.6,20.2,1:50:00 PM,343.00,14.73,2:31:00 PM,359.00,17.86,8.5,21,0,s,2_12_2018
2,15,Y,8:28:00 AM,16.86,8:59:00 AM,18.77,8.6,20.3,2:28:00 PM,360.00,12.28,2:58:00 PM,359.00,18.9,8.5,20.8,0,s,2_12_2018
2,16,Y,10:59:00 AM,16.99,11:36:00 AM,18.6,8.6,20.1,4:58:00 PM,359.00,15.45,5:37:00 PM,361.00,18.34,8.6,21,0,s,2_12_2018
3,17,N,7:40:00 AM,1.06,7:58:00 AM,22.48,8.5,20.7,1:42:00 PM,362.00,0.966,1:59:00 PM,361.00,19.64,8.6,21.1,2,s,2_12_2018
3,18,N,9:34:00 AM,1.26,10:06:00 AM,17.38,8.6,20.2,3:34:00 PM,360.00,1.139,4:06:00 PM,360.00,16.77,8.6,20.8,8,s,2_12_2018
3,19,N,10:12:00 AM,0.949,10:33:00 AM,17.88,8.6,20.2,4:10:00 PM,358.00,0.859,4:34:00 PM,361.00,17.04,8.6,21.2,24,s,2_12_2018
3,20,N,10:42:00 AM,1.072,11:05:00 AM,17.25,8.6,20.5,4:43:00 PM,361.00,0.942,5:06:00 PM,361.00,17.99,8.6,21,17,s,2_12_2018
3,21,N,12:03:00 PM,1.079,12:34:00 PM,17.55,8.6,20.3,6:02:00 PM,359.00,0.883,6:33:00 PM,359.00,17.25,8.6,21.5,14,s,2_12_2018
3,22,Y,8:33:00 AM,0.942,9:07:00 AM,16.47,8.6,20.5,2:33:00 PM,360.00,0.884,3:05:00 PM,358.00,17.38,8.6,20.8,0,s,2_12_2018
3,23,Y,9:01:00 AM,1.204,9:33:00 AM,17.45,8.6,20.3,3:02:00 PM,361.00,0.933,3:34:00 PM,361.00,17.76,8.5,20.7,0,s,2_12_2018
3,24,Y,11:36:00 AM,1.13,12:12:00 PM,16.93,8.6,20.3,5:38:00 PM,362.00,0.878,6:10:00 PM,358.00,17.65,8.6,20.9,0,s,2_12_2018
4,25,N,7:48:00 AM,24.56,8:08:00 AM,22.39,85,20.3,1:44:00 PM,356.00,7.599,2:09:00 PM,361.00,19.27,8.5,21.1,20,s,2_12_2018
4,26,N,8:18:00 AM,22.63,8:35:00 AM,19.88,8.6,20.3,2:18:00 PM,360.00,14.94,2:38:00 PM,363.00,18.89,8.6,20.9,11,s,2_12_2018
4,27,N,10:15:00 AM,22.13,10:41:00 AM,17.88,8.6,20.2,4:12:00 PM,357.00,21.89,4:42:00 PM,361.00,19.49,8.6,21.2,12,s,2_12_2018
4,28,N,10:45:00 AM,19.97,11:14:00 AM,18.13,8.6,20.5,4:45:00 PM,360.00,16.39,5:15:00 PM,361.00,20.12,8.6,21.2,12,s,2_12_2018
4,29,N,11:24:00 AM,22.26,11:45:00 AM,20.13,8.7,20.1,5:24:00 PM,360.00,19.13,5:45:00 PM,360.00,19.58,8.7,20.8,15,s,2_12_2018
4,30,Y,9:08:00 AM,20.6,9:41:00 AM,20.2,8.6,20.1,3:08:00 PM,360.00,19.49,3:40:00 PM,359.00,19.44,8.5,20.7,0,s,2_12_2018
4,31,Y,9:37:00 AM,21.2,10:14:00 AM,19.45,8.6,20.3,3:37:00 PM,360.00,17.81,4:15:00 PM,361.00,18.59,8.5,20.7,0,s,2_12_2018
4,32,Y,12:05:00 PM,20.93,12:41:00 PM,18.7,8.7,20.4,6:05:00 PM,360.00,19.96,6:41:00 PM,360.00,19.17,8.6,21.5,0,s,2_12_2018
5,33,N,7:55:00 AM,3.734,8:17:00 AM,19.57,8.6,20.6,1:46:00 PM,351.00,1.839,2:17:00 PM,360.00,17.24,8.6,21.2,12,s,2_12_2018
5,34,N,8:20:00 AM,3.215,8:43:00 AM,17.8,8.6,20.2,2:22:00 PM,362.00,1.615,2:42:00 PM,359.00,17.55,8.6,20.8,12,s,2_12_2018
5,35,N,8:52:00 AM,3.216,9:16:00 AM,17.95,8.6,20.1,2:52:00 PM,360.00,1.891,3:14:00 PM,358.00,17.69,8.6,20.9,22,s,2_12_2018
5,36,N,10:47:00 AM,4.309,11:23:00 AM,18.56,8.7,20.2,4:47:00 PM,360.00,2.466,5:23:00 PM,360.00,18.9,8.6,21,26,s,2_12_2018
5,37,N,11:26:00 AM,3.645,11:53:00 AM,17.798,8.7,20.2,5:26:00 PM,360.00,2.391,5:50:00 PM,357.00,18.25,8.6,20.9,12,s,2_12_2018
5,38,Y,9:42:00 AM,3.22,10:19:00 AM,17.39,8.6,20.2,3:42:00 PM,360.00,2.767,4:20:00 PM,361.00,17.3,8.6,20.6,0,s,2_12_2018
5,39,Y,10:17:00 AM,2.909,10:50:00 AM,16.62,8.7,20.3,4:16:00 PM,359.00,3.266,4:50:00 PM,360.00,19.41,8.6,21.2,0,s,2_12_2018
