Rep,Treatment,control,Time_chl_1,Chl_time_1,chl1,Time_nh4_1,Nh4_time_1,nh41,ph1,temp1,Time_chl_2,Chl_time_2,chl2,Time_nh4_2,Nh4_time_2,Chl_Time_Diff,Nh4_Time_Diff,nh42,ph2,temp2,Num_Daphnia,baby,dead,date
2,1,1,,9:00:00 AM,9.91,,9:31:00 AM,14.22,8.4,19.8,,3:02:00 PM,8.127,,03:22:00 PM,362.00,,12.2,8.4,19.9,9,,1,1_15_18
3,1,1,,9:54:00 AM,8.464,,10:34:00 AM,13.24,8.6,19.6,,3:56:00 PM,5.818,,04:33:00 PM,362.00,,15.06,8.6,19.9,9,,0,1_15_18
4,1,1,,11:03:00 AM,8.425,,11:27:00 AM,13.2,8.5,19.9,,4:59:00 PM,5.703,,05:28:00 PM,356.00,,14.06,8.7,19.7,6,,3,1_15_18
5,1,1,,11:25:00 AM,7.902,,12:02:00 PM,11.77,8.5,19.7,,5:26:00 PM,5.36,,05:59:00 PM,361.00,,14.05,8.6,19.7,10,,1,1_15_18
6,1,2,,8:33:00 AM,8.17,,9:08:00 AM,13.13,8.6,19.9,,2:32:00 PM,5.154,,03:03:00 PM,359.00,,10.95,8.6,20.1,0,,0,1_15_18
7,1,2,,10:29:00 AM,6.768,,11:07:00 AM,11.46,8.6,19.6,,4:31:00 PM,6.115,,05:00:00 PM,362.00,,11.52,8.6,20.1,0,,0,1_15_18
8,1,2,,11:53:00 AM,7.288,,12:29:00 PM,12.96,8.7,19.7,,5:53:00 PM,7.05,,06:32:00 PM,360.00,,14.03,8.6,20.2,0,,0,1_15_18
9,2,1,,8:37:00 AM,19.24,,9:18:00 AM,14.37,8.7,19.6,,2:34:00 PM,11.33,,03:14:00 PM,357.00,,13.32,8.5,20.1,8,,0,1_15_18
10,2,1,,9:04:00 AM,15.66,,9:41:00 AM,15.76,8.8,19.4,,3:04:00 PM,9.462,,03:29:00 PM,360.00,,13.75,8.5,20.4,9,,1,1_15_18
11,2,1,,9:42:00 AM,14.34,,10:02:00 AM,12.03,8.5,19.5,,3:43:00 PM,9.449,,04:05:00 PM,361.00,,14.74,8.5,20.1,10,,0,1_15_18
12,2,1,,11:29:00 AM,14.43,,12:07:00 PM,12.36,8.6,19.5,,5:27:00 PM,13.64,,06:05:00 PM,358.00,,13.76,8.5,19.9,8,,0,1_15_18
13,2,1,,12:04:00 PM,13.56,,12:33:00 PM,11.76,8.5,19.6,,6:03:00 PM,7.658,,06:41:00 PM,359.00,,12.5,8.5,20.1,8,,0,1_15_18
14,2,2,,8:16:00 AM,15.82,,8:34:00 AM,19.28,8.8,19.7,,2:13:00 PM,13.69,,02:27:00 PM,357.00,,18.09,8.6,20.3,0,,0,1_15_18
15,2,2,,10:33:00 AM,13.53,,11:10:00 AM,11.99,8.6,19.6,,4:32:00 PM,14.23,,05:10:00 PM,359.00,,11.86,8.7,20.1,0,,0,1_15_18
16,2,2,,11:08:00 AM,14.02,,11:33:00 AM,15.6,8.9,19.6,,5:07:00 PM,13.08,,05:35:00 PM,359.00,,14.46,8.7,19.8,0,,0,1_15_18
