Date,Rep,Day,Exp_Rep,Time_Chl1,Chl1,Temp1,pH1,Time_Nh41,Nh41,,,
Jan_29_2018,3,1,2,9:27,106.7,21.7,8.3,10:02,5.72,,,
Jan_29_2018,10,1,2,9:29,120.8,21.7,8.3,10:12,11.67,,,
Jan_29_2018,18,1,2,9:32,110.2,21.7,8.3,10:21,1.12,,,
Jan_29_2018,39,1,2,9:55,-0.213,21.5,8.5,10:23,0.34,,,
Jan_29_2018,7,1,2,9:56,-0.225,21.6,8.4,10:33,10.62,,,
Jan_29_2018,11,1,2,10:05,105.6,21.3,8.2,10:38,14.17,,,
Jan_29_2018,19,1,2,10:13,102.2,21.4,8.3,10:46,1.39,,,
Jan_29_2018,27,1,2,10:22,103.6,21.4,8.3,10:53,2.66,,,
Jan_29_2018,8,1,2,10:34,-0.203,21.3,8.4,11:03,10.69,,,
Jan_29_2018,12,1,2,10:36,109.1,21.7,8.3,11:13,14.71,,,
Jan_29_2018,24,1,2,10:39,-0.254,21.3,8.4,11:16,2.12,,,
Jan_29_2018,28,1,2,10:47,96.99,21.5,8.4,11:19,3.24,,,
Jan_29_2018,36,1,2,10:53,104.2,21.3,8.4,11:21,0.63,,,
Jan_29_2018,13,1,2,11:13,117.5,21.2,8.4,11:28,15.51,,,
Jan_29_2018,20,1,2,11:15,111.5,21.6,8.4,11:36,1.43,,,
Jan_29_2018,32,1,2,11:17,-0.144,21.6,8.4,11:47,5.25,,,
Jan_29_2018,37,1,2,11:20,105.2,21.9,8.4,11:55,0.5,,,
Jan_29_2018,4,1,2,11:23,111,21.7,8.3,12:05,5.17,,,
Jan_29_2018,21,1,2,11:37,108.9,21.6,8.4,12:07,1.23,,,
Jan_29_2018,29,1,2,11:41,104.3,21.7,8.4,12:13,2.45,,,
Jan_29_2018,40,1,2,11:56,-0.327,21.4,8.5,12:16,0.39,,,
Jan_29_2018,5,1,2,11:57,111.1,21.6,8.4,12:26,5.23,,,
Jan_29_2018,6,1,2,13:43,-0.295,22.0,8.4,13:57,13.32,,,
Jan_29_2018,14,1,2,13:45,-0.316,22.1,8.3,14:04,20.55,,,
Jan_29_2018,17,1,2,13:49,102.2,22.3,8.4,14:11,1.11,,,
Jan_29_2018,25,1,2,13:58,107.3,22.1,8.4,14:13,2.17,,,
Jan_29_2018,33,1,2,14:02,101.9,22.2,8.4,14:17,0.42,,,
Jan_29_2018,15,1,2,14:04,0.315,22.2,8.3,14:27,19.74,,,
Jan_29_2018,22,1,2,14:10,0.036,22.2,8.4,14:34,2.98,,,
Jan_29_2018,26,1,2,14:12,106.1,22.2,8.4,14:44,2.92,,,
Jan_29_2018,34,1,2,14:14,100.7,22.3,8.4,14:49,0.58,,,
Jan_29_2018,1,1,2,14:17,109.5,22.2,8.4,14:58,5.89,,,
Jan_29_2018,23,1,2,14:49,-0.082,22.0,8.5,15:08,2.14,,,
Jan_29_2018,30,1,2,14:55,-0.155,22.0,8.4,15:15,4.69,,,
Jan_29_2018,35,1,2,14:56,104,22.2,8.4,15:20,0.49,,,
Jan_29_2018,2,1,2,14:58,109,22.0,8.4,15:30,6.75,,,
Jan_29_2018,9,1,2,14:59,107.5,22.3,8.3,15:40,14.4,,,
Jan_29_2018,31,1,2,15:21,-0.188,21.8,8.4,15:45,4.71,,,
Jan_29_2018,38,1,2,15:22,-0.324,22.3,8.4,15:50,0.45,,,
Jan_29_2018,3,1,2,15:27,104.9,22.2,8.4,16:07,6.13,,,
Jan_29_2018,10,1,2,15:31,129.5,22.2,8.3,16:17,13.32,,,
Jan_29_2018,18,1,2,15:40,100.2,22.0,8.4,16:24,1.46,,,
Jan_29_2018,39,1,2,15:54,-0.236,22.1,8.4,16:28,0.85,,,
Jan_29_2018,7,1,2,16:07,-0.071,22.3,8.4,16:31,11.46,,,
Jan_29_2018,11,1,2,16:08,132.7,22.2,8.3,16:41,13.77,,,
Jan_29_2018,19,1,2,16:18,110.8,22.0,8.4,16:46,1.57,,,
Jan_29_2018,27,1,2,16:26,110.7,22.1,8.3,16:53,2.85,,,
Jan_29_2018,8,1,2,16:32,0.408,21.9,8.4,17:03,11.29,,,
Jan_29_2018,12,1,2,16:35,102.3,22.1,8.3,17:11,14.8,,,
Jan_29_2018,24,1,2,16:41,-0.007,22.1,8.4,17:20,1.92,,,
Jan_29_2018,28,1,2,16:46,98.02,22.2,8.4,17:26,2.71,,,
Jan_29_2018,36,1,2,16:53,102.8,22.0,8.4,17:28,0.52,,,
Jan_29_2018,13,1,2,17:13,123.3,22.2,8.3,17:30,12.93,,,
Jan_29_2018,20,1,2,17:15,116.1,22.1,8.4,17:35,1.22,,,
Jan_29_2018,32,1,2,17:21,-0.073,21.8,8.4,17:45,4.69,,,
Jan_29_2018,37,1,2,17:28,104.6,22.1,8.4,17:51,0.5,,,
Jan_29_2018,4,1,2,17:31,128.4,22.1,8.4,18:02,5.56,,,
Jan_29_2018,21,1,2,17:33,112.3,22.0,8.4,18:09,1.17,,,
Jan_29_2018,29,1,2,17:35,113,22.3,8.4,18:12,2.41,,,
Jan_29_2018,40,1,2,17:52,-0.155,21.7,8.4,18:17,0.45,,,
Jan_29_2018,5,1,2,17:53,121,22.0,8.4,18:27,5.53,,,
Jan_30_2018,14,2,2,7:48,-0.292,21.3,8.3,8:02,32.84,,,
Jan_30_2018,17,2,2,7:50,120.7,21,8.4,8:05,2.23,,,
Jan_30_2018,25,2,2,7:51,111.1,21.7,8.3,8:09,4.4,,,
Jan_30_2018,33,2,2,7:53,113.9,21.3,8.4,8:12,0.91,,,
Jan_30_2018,15,2,2,8:06,0.299,20.9,8.4,8:21,30.8,,,
Jan_30_2018,22,2,2,8:08,0.118,21.1,84,8:31,3.88,,,
Jan_30_2018,26,2,2,8:10,99.64,21.1,8.4,8:33,3.36,,,
Jan_30_2018,34,2,2,8:12,102.4,21.1,8.4,8:36,0.68,,,
Jan_30_2018,1,2,2,8:14,110.7,21.1,8.4,8:41,6.68,,,
Jan_30_2018,23,2,2,8:32,-0.124,20.9,8.5,8:45,2.54,,,
Jan_30_2018,30,2,2,8:34,-0.176,21,8.4,8:54,5.76,,,
Jan_30_2018,35,2,2,8:35,100.7,21.1,8.4,8:58,0.6,,,
Jan_30_2018,2,2,2,8:37,80.11,21.2,8.3,9:08,6.41,,,
Jan_30_2018,9,2,2,8:42,104.4,20.8,8.3,9:19,15.77,,,
Jan_30_2018,31,2,2,9:20,-0.143,21,8.4,9:30,5.55,,,
Jan_30_2018,38,2,2,9:23,-0.308,21.1,8.4,9:33,0.55,,,
Jan_30_2018,3,2,2,9:25,101.7,21.2,8.4,9:42,6.09,,,
Jan_30_2018,10,2,2,9:26,114.6,21.2,8.4,9:53,12.99,,,
Jan_30_2018,18,2,2,9:28,93.27,21.2,8.4,9:56,1.49,,,
Jan_30_2018,39,2,2,9:42,-0.235,20.9,8.3,10:01,0.86,,,
Jan_30_2018,7,2,2,9:45,-0.236,21.2,8.4,10:11,12.57,,,
Jan_30_2018,11,2,2,9:49,109,21.4,8.4,10:21,14.65,,,
Jan_30_2018,19,2,2,9:54,88.57,21.4,8.4,10:26,1.63,,,
Jan_30_2018,27,2,2,9:57,114.9,21.4,8.4,10:30,2.88,,,
Jan_30_2018,8,2,2,10:27,-0.007,20.7,8.5,10:35,10.51,,,
Jan_30_2018,12,2,2,10:29,111.1,21,8.4,10:45,16.43,,,
Jan_30_2018,24,2,2,10:31,-0.116,21,8.4,10:51,2.34,,,
Jan_30_2018,28,2,2,10:32,91.75,21.3,8.4,11:01,2.5,,,
Jan_30_2018,36,2,2,10:33,101,21.4,8.4,11:03,0.46,,,
Jan_30_2018,13,2,2,11:01,125.7,20.8,8.4,11:13,13.53,,,
Jan_30_2018,20,2,2,11:03,112,21.2,8.4,11:19,1.31,,,
Jan_30_2018,32,2,2,11:22,-0.25,20.1,8.5,11:26,5.16,,,
Jan_30_2018,37,2,2,11:24,34.7,22.2,8.4,11:28,0.66,,,
Jan_30_2018,4,2,2,11:26,23.71,20.6,8.4,11:38,5.52,,,
Jan_30_2018,21,2,2,11:28,51.43,20.7,8.4,11:42,1.25,,,
Jan_30_2018,29,2,2,11:29,79.73,20.6,8.4,11:50,2.3,,,
Jan_30_2018,40,2,2,11:30,0.764,20.6,8.4,11:52,0.44,,,
Jan_30_2018,5,2,2,11:31,54.16,20.8,8.4,11:54,4.87,,,
Feb_5_2018,6,1,3,8:00,-0.091,19.8,8.3,8:00,24.4,,,
Feb_5_2018,14,1,3,7:48,-0.188,20.2,8.4,8:10,22.92,,,
Feb_5_2018,17,1,3,7:53,127,19.9,8.6,8:19,1.47,,,
Feb_5_2018,25,1,3,7:57,114.9,19.8,8.5,8:23,0.49,,,
Feb_5_2018,33,1,3,7:58,121.8,19.9,8.4,8:33,2.65,,,
Feb_5_2018,15,1,3,8:19,-0.243,20.1,8.4,8:43,10.22,,,
Feb_5_2018,22,1,3,8:21,-0.294,19.9,8.5,8:51,2.04,,,
Feb_5_2018,26,1,3,8:24,104.6,19.9,8.5,8:56,0.53,,,
Feb_5_2018,34,1,3,8:26,114.1,19.9,8.4,8:59,2.72,,,
Feb_5_2018,1,1,3,8:34,117.4,20,8.3,9:09,13.57,,,
Feb_5_2018,23,1,3,8:57,-0.084,19.9,8.5,9:15,2.52,,,
Feb_5_2018,30,1,3,8:58,-0.316,20.1,8.5,9:19,0.48,,,
Feb_5_2018,35,1,3,9:00,107.7,20.1,8.4,9:23,2.75,,,
Feb_5_2018,2,1,3,9:03,100.4,20.1,8.3,9:33,13.69,,,
Feb_5_2018,9,1,3,9:10,97.99,20,8.4,9:40,5.95,,,
Feb_5_2018,31,1,3,9:24,-0.061,19.9,8.5,9:48,1.42,,,
Feb_5_2018,38,1,3,9:26,-0.23,20,8.4,9:59,4.97,,,
Feb_5_2018,3,1,3,9:29,111.2,20.1,8.3,10:09,13.29,,,
Feb_5_2018,10,1,3,9:34,103.8,20.1,8.4,10:17,6.28,,,
Feb_5_2018,18,1,3,9:41,108.5,20,8.5,10:21,1.46,,,
Feb_5_2018,39,1,3,10:10,-0.043,19.6,8.5,10:31,5.07,,,
Feb_5_2018,7,1,3,10:12,-0.198,19.9,8.3,10:41,22.21,,,
Feb_5_2018,11,1,3,10:13,114.4,20.1,8.4,10:51,6.17,,,
Feb_5_2018,19,1,3,10:18,97.86,20,8.5,10:58,1.45,,,
Feb_5_2018,27,1,3,10:22,105.4,19.9,8.5,11:01,0.53,,,
Feb_5_2018,8,1,3,10:52,-0.177,20,8.2,11:11,21.93,,,
Feb_5_2018,16,1,3,10:54,-0.257,20.1,8.4,11:15,9.59,,,
Feb_5_2018,20,1,3,10:57,110.1,20.1,8.5,11:22,1.43,,,
Feb_5_2018,28,1,3,10:59,111.3,20.2,8.5,11:27,0.5,,,
Feb_5_2018,36,1,3,11:02,101.6,20.3,8.4,11:32,2.74,,,
Feb_5_2018,12,1,3,11:23,113,20.1,8.4,11:42,5.89,,,
Feb_5_2018,24,1,3,11:26,-0.108,20.1,8.5,11:48,1.99,,,
Feb_5_2018,32,1,3,11:28,-0.185,20.1,8.5,11:50,0.46,,,
Feb_5_2018,37,1,3,11:30,106.4,20.3,8.5,11:54,2.71,,,
Feb_5_2018,4,1,3,11:33,119.9,20.2,8.3,12:04,12.08,,,
Feb_5_2018,21,1,3,11:51,103.2,20.1,8.5,12:07,1.71,,,
Feb_5_2018,29,1,3,11:53,112.6,20.1,8.5,12:09,0.54,,,
Feb_5_2018,40,1,3,11:55,-0.143,20,8.4,12:19,4.73,,,
Feb_5_2018,5,1,3,11:57,110.1,20.1,8.3,12:29,12.46,,,
Feb_5_2018,13,1,3,11:58,119.8,20.1,8.4,12:36,5.63,,,
Feb_5_2018,6,1,3,13:55,0.053,20.4,8.3,13:54,18.65,,,
Feb_5_2018,14,1,3,13:42,-0.113,20.6,8.3,14:03,17.6,,,
Feb_5_2018,17,1,3,13:44,103.7,20.5,8.6,14:19,1.39,,,
Feb_5_2018,25,1,3,13:45,101.7,20.6,8.5,14:23,0.47,,,
Feb_5_2018,33,1,3,13:47,106.1,20.6,8.4,14:30,3.13,,,
Feb_5_2018,15,1,3,14:19,-0.152,20.5,8.3,14:44,10.71,,,
Feb_5_2018,22,1,3,14:21,-0.177,20.4,8.4,14:50,2.23,,,
Feb_5_2018,26,1,3,14:24,107,20.2,8.5,14:54,0.61,,,
Feb_5_2018,34,1,3,14:26,101.8,20.3,8.4,15:01,3.08,,,
Feb_5_2018,1,1,3,14:37,114.5,20.0,8.4,15:11,14.58,,,
Feb_5_2018,23,1,3,14:57,-0.055,20.1,8.5,15:16,2.69,,,
Feb_5_2018,30,1,3,14:59,-0.257,20.1,8.4,15:20,0.54,,,
Feb_5_2018,35,1,3,15:01,122.3,20.4,8.4,15:24,2.64,,,
Feb_5_2018,2,1,3,15:04,94.68,20.5,8.3,15:34,12.98,,,
Feb_5_2018,9,1,3,15:10,95.28,20.3,8.4,15:40,5.98,,,
Feb_5_2018,31,1,3,15:24,0.03,20.2,8.5,15:47,1.31,,,
Feb_5_2018,38,1,3,15:26,-0.201,20.4,8.4,15:55,4.09,,,
Feb_5_2018,3,1,3,15:29,107.5,20.5,8.3,16:07,10.9,,,
Feb_5_2018,10,1,3,15:35,122.8,20.1,8.5,16:17,5.13,,,
Feb_5_2018,18,1,3,15:41,112.4,20.1,8.5,16:20,1.23,,,
Feb_5_2018,39,1,3,16:10,-0.158,20.9,8.4,16:30,4.54,,,
Feb_5_2018,7,1,3,16:12,-0.261,20.8,8.3,16:36,18.56,,,
Feb_5_2018,11,1,3,16:13,112.3,21.0,8.4,16:44,5.16,,,
Feb_5_2018,19,1,3,16:18,114.8,20.9,8.5,16:49,1.37,,,
Feb_5_2018,27,1,3,16:21,106.6,21.1,8.5,16:52,0.52,,,
Feb_5_2018,8,1,3,16:50,-0.034,20.2,8.3,17:03,20.39,,,
Feb_5_2018,16,1,3,16:52,-0.187,20.7,8.4,17:13,9.63,,,
Feb_5_2018,20,1,3,16:53,107.8,21.0,8.5,17:17,1.53,,,
Feb_5_2018,28,1,3,16:55,114,21.1,8.5,17:20,0.56,,,
Feb_5_2018,36,1,3,16:56,114.3,21.1,8.4,17:23,2.86,,,
Feb_5_2018,12,1,3,17:18,110.9,20.3,8.5,17:26,5.44,,,
Feb_5_2018,24,1,3,17:19,0.136,20.7,8.4,17:36,2.35,,,
Feb_5_2018,32,1,3,17:22,-0.176,20.8,8.4,17:38,0.5,,,
Feb_5_2018,37,1,3,17:23,107.6,21.1,8.4,17:42,2.62,,,
Feb_5_2018,4,1,3,17:25,111.5,21.0,8.4,17:52,11.25,,,
Feb_5_2018,21,1,3,17:43,105.7,21.1,8.5,17:56,1.72,,,
Feb_5_2018,29,1,3,17:44,128.1,21.1,8.5,18:01,0.59,,,
Feb_5_2018,40,1,3,17:45,0.211,21.0,8.4,18:11,4.49,,,
Feb_5_2018,5,1,3,17:47,109.2,21.0,8.4,18:18,11.82,,,
Feb_5_2018,13,1,3,17:48,114.5,21.0,8.4,18:23,5.47,,,
Feb_6_2018,6,2,3,7:58,0.024,20.1,8.3,7:57,29.48,,,
Feb_6_2018,14,2,3,7:50,-0.257,20.3,8.4,8:07,28.54,,,
Feb_6_2018,17,2,3,7:52,107.9,20.1,8.4,8:13,2.35,,,
Feb_6_2018,25,2,3,7:53,103.8,20.2,8.4,8:17,0.69,,,
Feb_6_2018,33,2,3,7:55,111.6,20.2,8.3,8:26,3.49,,,
Feb_6_2018,15,2,3,8:15,-0.151,20,8.4,8:36,12.04,,,
Feb_6_2018,22,2,3,8:18,-0.228,20.1,8.5,8:41,2.59,,,
Feb_6_2018,26,2,3,8:19,86.11,20.1,8.4,8:45,0.68,,,
Feb_6_2018,34,2,3,8:21,102,20.2,8.4,8:54,2.95,,,
Feb_6_2018,1,2,3,8:27,100.7,19.8,83,9:04,13.99,,,
Feb_6_2018,23,2,3,8:55,0.056,20.1,8.5,9:09,2.8,,,
