Rep,Treat,Day,Date,Time,pH,Temp,NH4
35,3,4,03_01_2018,11:43,8.5,21.4,3.26
49,4,4,03_01_2018,11:45,8.5,21.4,0.96
63,5,4,03_01_2018,11:53,8.5,21.2,6.47
7,1,4,03_01_2018,12:03,8.4,21.4,2.82
36,3,4,03_01_2018,12:10,8.5,21.5,3.88
50,4,4,03_01_2018,12:07,8.5,21.5,2.52
64,5,4,03_01_2018,12:12,8.5,21.6,6.29
8,1,4,03_01_2018,,8.4,21.6,
22,2,4,03_01_2018,12:22,8.4,21.2,18.34
51,4,4,03_01_2018,12:26,8.4,20.8,1.13
65,5,4,03_01_2018,12:28,8.4,21,6.02
9,1,4,03_01_2018,12:38,8.4,20.9,11.86
23,2,4,03_01_2018,12:48,8.4,21,19.33
37,3,4,03_01_2018,12:55,8.5,21.4,3.43
66,5,4,03_01_2018,13:05,8.4,21.6,6.28
10,1,4,03_01_2018,13:15,8.4,21.4,10.95
24,2,4,03_01_2018,13:20,8.4,21.3,3.07
38,3,4,03_01_2018,13:24,8.4,21.6,0.85
52,4,4,03_01_2018,13:34,8.5,21.4,11.84
11,1,4,03_01_2018,13:43,8.4,21.5,14.76
25,2,4,03_01_2018,13:50,8.3,21.4,2.94
39,3,4,03_01_2018,13:54,8.4,21.4,0.94
53,4,4,03_01_2018,14:05,8.5,21.4,5.73
67,5,4,03_01_2018,14:19,8.4,21.4,16.3
26,2,4,03_01_2018,15:08,8.3,21.3,17.85
40,3,4,03_01_2018,14:40,8.5,21.4,2.84
54,4,4,03_01_2018,15:26,8.5,21.5,1.04
68,5,4,03_01_2018,15:32,8.4,21.7,6.34
12,1,4,03_01_2018,15:44,8.4,21.8,13.01
41,3,4,03_01_2018,15:54,8.4,21.5,3.91
55,4,4,03_01_2018,15:58,8.5,21.5,1.07
69,5,4,03_01_2018,16:09,8.4,21.6,7.44
13,1,4,03_01_2018,16:17,8.4,21.5,12.43
27,2,4,03_01_2018,16:27,8.4,21.5,16.49
56,4,4,03_01_2018,16:35,8.5,21.3,0.93
70,5,4,03_01_2018,16:42,8.4,21.7,5.77
14,1,4,03_01_2018,16:50,8.3,21.6,10.76
28,2,4,03_01_2018,17:00,8.3,21.6,15.5
42,3,4,03_01_2018,17:15,8.5,21.7,2.72
1,1,5,03_02_2018,7:50,8.2,20.9,32.65
15,2,5,03_02_2018,8:00,8.4,20.8,36.34
29,3,5,03_02_2018,8:12,8.5,20.7,7
43,4,5,03_02_2018,8:22,8.5,20.8,1.42
57,5,5,03_02_2018,8:26,8.4,20.8,5.7
16,2,5,03_02_2018,8:33,8.4,20.7,18.56
30,3,5,03_02_2018,8:38,8.5,20.6,3.68
44,4,5,03_02_2018,8:42,8.5,20.7,0.99
58,5,5,03_02_2018,8:45,8.4,20.7,5.6
2,1,5,03_02_2018,8:50,8.4,20.6,10.38
31,3,5,03_02_2018,8:57,8.5,20.6,2.97
45,4,5,03_02_2018,9:04,8.6,20.5,0.88
59,5,5,03_02_2018,9:08,8.4,20.7,4.64
3,1,5,03_02_2018,9:13,8.5,20.8,10.71
17,2,5,03_02_2018,9:18,8.3,20.6,13.07
46,4,5,03_02_2018,9:28,8.5,20.6,1.03
60,5,5,03_02_2018,9:30,8.4,20.7,4.46
4,1,5,03_02_2018,9:33,8.4,20.6,8.75
18,2,5,03_02_2018,9:36,8.3,20.6,13.21
32,3,5,03_02_2018,9:41,8.4,20.5,2.93
61,5,5,03_02_2018,9:45,8.4,20.7,5.16
5,1,5,03_02_2018,9:50,8.4,20.7,10.03
19,2,5,03_02_2018,10:00,8.3,20.6,14.88
33,3,5,03_02_2018,10:03,8.4,20.7,3.2
47,4,5,03_02_2018,10:13,8.5,20.8,0.84
6,1,5,03_02_2018,10:23,8.4,20.9,10.75
20,2,5,03_02_2018,10:32,8.4,20.9,17.48
34,3,5,03_02_2018,10:42,8.4,21,5.09
48,4,5,03_02_2018,10:53,8.4,21.1,1.48
62,5,5,03_02_2018,11:02,0.4,21.2,5.3
21,2,5,03_02_2018,11:12,8.3,21.1,14.27
35,3,5,03_02_2018,11:18,8.4,21,2.91
49,4,5,03_02_2018,11:28,8.4,21.2,1.28
63,5,5,03_02_2018,11:38,8.3,21.3,5.8
7,1,5,03_02_2018,11:47,8.4,21.3,14.06
36,3,5,03_02_2018,12:50,8.4,21.5,3.11
50,4,5,03_02_2018,,,,
64,5,5,03_02_2018,11:53,8.3,21.3,5.95
8,1,5,03_02_2018,,,,
22,2,5,03_02_2018,12:00,8.3,21.3,16.23
51,4,5,03_02_2018,12:07,8.4,21.2,0.87
65,5,5,03_02_2018,12:13,8.3,21.2,4.94
9,1,5,03_02_2018,12:20,8.4,21.2,11.25
23,2,5,03_02_2018,12:30,8.4,21,20.23
37,3,5,03_02_2018,12:40,8.4,21,2.95
66,5,5,03_02_2018,12:46,8.3,21.1,6.27
10,1,5,03_02_2018,13:00,8.4,21.3,10.28
24,2,5,03_02_2018,13:07,8.4,21.1,15.81
38,3,5,03_02_2018,13:11,8.5,21.1,3.34
52,4,5,03_02_2018,13:15,8.5,21.2,0.89
11,1,5,03_02_2018,13:25,8.5,21.2,12.64
25,2,5,03_02_2018,13:35,8.5,21.1,16.06
39,3,5,03_02_2018,13:45,8.5,21.1,3.23
