Sample_Code,Date,Site,Sample_Type,Treatment,Tank_#,Tank_Name,Salinity,Dispersal
CSI108,29-Jun-15,CSI_Dispersal (CSI),W,B,9,B9_2015-June29,13,2
CSI109,29-Jun-15,CSI_Dispersal (CSI),W,B,10,B10_2015-June29,13,3
CSI110,29-Jun-15,CSI_Dispersal (CSI),W,B,11,B11_2015-June29,0,2
CSI111,29-Jun-15,CSI_Dispersal (CSI),W,C,1,C1_2015-June29,13,0
CSI113,29-Jun-15,CSI_Dispersal (CSI),W,C,3,C3_2015-June29,0,1
CSI114,29-Jun-15,CSI_Dispersal (CSI),W,C,4,C4_2015-June29,0,3
CSI115,29-Jun-15,CSI_Dispersal (CSI),W,C,5,C5_2015-June29,5,2
CSI116,29-Jun-15,CSI_Dispersal (CSI),W,C,6,C6_2015-June29,5,3
CSI117,29-Jun-15,CSI_Dispersal (CSI),W,C,7,C7_2015-June29,9,2
CSI118,29-Jun-15,CSI_Dispersal (CSI),W,C,8,C8_2015-June29,9,3
CSI119,29-Jun-15,CSI_Dispersal (CSI),W,C,9,C9_2015-June29,13,2
CSI120,29-Jun-15,CSI_Dispersal (CSI),W,C,10,C10_2015-June29,13,3
CSI121,29-Jun-15,CSI_Dispersal (CSI),W,C,11,C11_2015-June29,0,2
CSI122,29-Jun-15,CSI_Dispersal (CSI),W,D,1,D1_2015-June29,13,0
CSI124,29-Jun-15,CSI_Dispersal (CSI),W,D,3,D3_2015-June29,0,1
CSI125,29-Jun-15,CSI_Dispersal (CSI),W,D,4,D4_2015-June29,0,3
CSI126,29-Jun-15,CSI_Dispersal (CSI),W,D,5,D5_2015-June29,5,2
CSI127,29-Jun-15,CSI_Dispersal (CSI),W,D,6,D6_2015-June29,5,3
CSI129,29-Jun-15,CSI_Dispersal (CSI),W,D,8,D8_2015-June29,9,3
