"","OTU","Domain","Phylum","Class","Order","Family","Genus"
"9757","Otu09757","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"9758","Otu09758","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"9759","Otu09759","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"9760","Otu09760","Bacteria","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"9761","Otu09761","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobiaceae_unclassified"
"9762","Otu09762","Bacteria","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"9763","Otu09763","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"9764","Otu09764","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"9765","Otu09765","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"9766","Otu09766","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonadaceae_unclassified"
"9767","Otu09767","Bacteria","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"9768","Otu09768","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"9769","Otu09769","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"9770","Otu09770","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"9771","Otu09771","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter"
"9772","Otu09772","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter"
"9773","Otu09773","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter"
"9774","Otu09774","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobiaceae_unclassified"
"9775","Otu09775","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter"
