"","alpha","beta","omega","death2","pred_nh40","pred_chl0","gamma","loglik","ttime"
"27","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"28","0.0059320527255503","43.7741971952026","154.012144321038","0.000536557018489111","13","43","0.153864500682801","-1451.63637049823","29.9200000000001"
"29","0.00475717956160952","27.5076489208235","387.346858658868","0.00113019621465363","13.0943772277925","43.1931600261208","0.423751192437725","-1503.13081088904","37.5600000000013"
"30","NA","NA","NA","NA","NA","NA","NA","NA","0.199999999998909"
"31","NA","NA","NA","NA","NA","NA","NA","NA","0.199999999998909"
"32","0.0991566037107554","0.575858261773634","48.3059547960434","0.000166354743419461","2.22044604925031e-16","101.613173169302","7.9024554287222","-414.624771780206","71.5399999999991"
"33","0.00316748874265334","18.3526377601296","103.267535360372","4.42941001414158e-08","5.66423546950487","62.0408557132193","647.090198656207","-302.139015315705","77.7099999999991"
"34","NA","NA","NA","NA","NA","NA","NA","NA","0.199999999998909"
"35","2.22044604925031e-16","2.22044604925031e-16","3.44550327463971e+38","0.00185327111899859","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","-497.838983089523","21.1499999999996"
"36","NA","NA","NA","NA","NA","NA","NA","NA","0.210000000000946"
"37","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"38","NA","NA","NA","NA","NA","NA","NA","NA","0.260000000000218"
"39","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"40","2.8538737109864e-06","0.00513965728644465","0.684083699679911","1.44810532340731e-08","1.44270564052497e-07","151.444316545851","1278.12562921682","-444.162488698732","39.5900000000001"
"41","0.00598980574672021","34.8750970730907","196.613465316934","0.001254777439329","13","43","0.447671866447665","-1492.75511571672","32.0199999999986"
"42","0.000925696591596238","63.442824994838","75185.3237408739","1.21726830282999e-06","4.71507993760777","55.4889841643624","0.000635891569744539","-338.85052832036","52.1800000000003"
"43","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"44","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"45","NA","NA","NA","NA","NA","NA","NA","NA","0.209999999999127"
"46","NA","NA","NA","NA","NA","NA","NA","NA","0.199999999998909"
"47","0.00314835562354483","28.6288265762036","220.656991628129","0.00144413873474812","13","43","0.0586365470091502","-924.435637531696","25.8299999999999"
"48","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"49","0.00374278842812829","44.3725360218659","234.524618326052","0.000600786404608167","13.0000000000022","43.0000000000032","0.277763314614096","-1546.20412841565","37.0500000000011"
"50","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"51","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"52","0.00361291734030385","34.713765302396","267986.258611465","0.000760520686827012","5.57927855186541","33.1123228536494","0.0441385176664401","-296.598344820801","62.3500000000004"
"53","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"54","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"55","NA","NA","NA","NA","NA","NA","NA","NA","0.210000000000946"
"56","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"57","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"58","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"59","0.00362261744870266","34.703839417557","1161.0122680079","0.000763788345223025","5.57811568724582","33.2686501854384","0.0440141450375771","-296.602206294058","49.7999999999993"
"60","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"61","NA","NA","NA","NA","NA","NA","NA","NA","0.199999999998909"
"62","NA","NA","NA","NA","NA","NA","NA","NA","0.18999999999869"
"63","103.763948021354","108889122812944","2.22044604925031e-16","71273.0531765508","1.64096749444604e-11","2.22044604925031e-16","0.0296013342115225","-497.838982521881","28.9799999999996"
"64","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"65","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"66","0.00025462510513136","0.179009388598572","9.2472758774053","5.48993161393761e-07","1.61246390304112e-05","151.493223354724","0.000849402684036292","-454.182667527585","31.6700000000001"
"67","2.22044604925031e-16","2.22044604925031e-16","7.51137448060246e+28","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","-497.838983089523","21.0300000000007"
"68","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"69","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"70","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"71","NA","NA","NA","NA","NA","NA","NA","NA","0.180000000000291"
"72","NA","NA","NA","NA","NA","NA","NA","NA","0.209999999999127"
"73","NA","NA","NA","NA","NA","NA","NA","NA","0.199999999998909"
"74","NA","NA","NA","NA","NA","NA","NA","NA","0.209999999999127"
"75","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"76","0.137559850280404","254.251841743451","132425133.277439","0.00124442848035923","0.276763082890598","26.6608565441749","0.00632931751184869","-423.10946120592","59.8600000000006"
"77","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"78","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"79","2.1238205303909e-13","6.73013900956109e-11","5.22895038639922e-05","1.64163752687718","3.31867276709525","0.709122556559206","8.98675837134493e-05","-441.732346802004","28.9899999999998"
"80","NA","NA","NA","NA","NA","NA","NA","NA","0.199999999998909"
"81","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"82","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"83","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"84","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"85","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"86","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"87","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"88","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"89","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"90","NA","NA","NA","NA","NA","NA","NA","NA","0.209999999999127"
"91","NA","NA","NA","NA","NA","NA","NA","NA","0.179999999998472"
"92","2.80593938285432e-11","8.71659120981279e-10","0.000290772715188345","0.18521809201423","3.31566116500595","17.4697338131991","3.4062023365313e-05","-441.373086213934","27.6800000000003"
"93","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"94","0.387210712601626","43.0341273575956","0.0446614728988188","0.0035017584874782","5.42874020185494","34.652013176246","0.0248546964967637","-302.479657548638","79.6100000000006"
"95","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"96","NA","NA","NA","NA","NA","NA","NA","NA","0.18999999999869"
"97","NA","NA","NA","NA","NA","NA","NA","NA","0.209999999999127"
"98","NA","NA","NA","NA","NA","NA","NA","NA","0.179999999998472"
"99","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"100","0.167075626304917","39.4166501234107","74.8364662805665","0.00390401096912987","1.60402193236482","138.375863145373","0.0261556472733365","-406.590498010023","69.7199999999993"
"101","0.003236384491441","18.14585038565","80.6834092809736","7.82712400802432e-09","5.67076967990925","61.8039391290034","3742.56218745777","-302.185561784757","64.6399999999994"
"102","NA","NA","NA","NA","NA","NA","NA","NA","0.230000000001382"
"103","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"104","2.75325684989705e-05","0.498310358356896","0.204088145480156","0.000391810051601467","2.22044604925031e-16","1.61201652169861e-05","2.35192588411929e-08","-497.838978430941","29.9200000000001"
"105","0.000396314896214436","2695.79094653148","0.445082376804954","2.23208495776449","0.0185218830762439","7.77133700807488","0.384238460737763","-472.525140649638","42.9800000000014"
"106","2.22044604925031e-16","2.22044604925031e-16","3.43338261641097e-13","5489950525209.7","2.22044604925031e-16","3.0050957919552e-16","2.22044604925031e-16","-497.838983089523","21.0699999999997"
"107","9.20926879073731e-09","0.00389923428343125","4.31634762456918e-07","3.13492195182145","1.6607257339242e-12","0.000144070575014025","4.31432150780812e-07","-497.838941573952","21.9000000000015"
"108","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"109","NA","NA","NA","NA","NA","NA","NA","NA","0.209999999999127"
"110","2.22044604925031e-16","2.22044604925031e-16","14.0513065392652","0.303654444160399","2.22044604925031e-16","0.000113330673240567","2.22044604925031e-16","-497.838950345165","22.0399999999991"
"111","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"112","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"113","0.0687738046146944","1369.53054944168","746922.006193833","1.90233932838245e-06","0.368436176271335","56.4283099096302","0.0114957035245416","-465.886310983175","58.0200000000004"
"114","2.83693275208042e-08","0.000336947020553007","4.37001199170668e-05","0.194906249156558","4.33017207264673e-16","0.000147160711105755","5.41730015839952e-08","-497.838940569176","22.3999999999996"
"115","NA","NA","NA","NA","NA","NA","NA","NA","0.219999999999345"
"116","NA","NA","NA","NA","NA","NA","NA","NA","0.179999999998472"
"117","NA","NA","NA","NA","NA","NA","NA","NA","0.209999999999127"
"118","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"119","NA","NA","NA","NA","NA","NA","NA","NA","0.209999999999127"
"120","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"121","NA","NA","NA","NA","NA","NA","NA","NA","0.210000000000946"
"122","NA","NA","NA","NA","NA","NA","NA","NA","0.220000000001164"
"123","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"124","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"125","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"126","NA","NA","NA","NA","NA","NA","NA","NA","0.180000000000291"
"127","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"128","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"129","4.71390624380166e-06","40072891199.6432","6.46498586861551e-14","1824.21986955924","1.86180414732706e-12","5.90165381927765e-12","438.904473263357","-497.838983089494","26.1099999999988"
"130","3.5077957612592e-13","2.71663608155329e-12","0.000191776135927457","8.05981251718882e-09","3.32148664209858","151.477747765442","2.13833767465402e-06","-398.0862891828","34.9699999999993"
"131","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"132","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"133","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"134","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"135","2.72612758489798e-11","2.39731707970075e-13","0.000480172578813525","4.32716299111821e-10","3.32157821710625","151.448824290654","2.5353834289309e-08","-398.085976530587","40.7699999999986"
"136","NA","NA","NA","NA","NA","NA","NA","NA","0.199999999998909"
"137","NA","NA","NA","NA","NA","NA","NA","NA","0.18999999999869"
"138","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"139","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"140","NA","NA","NA","NA","NA","NA","NA","NA","0.180000000000291"
"141","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"142","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"143","7.79334214245786e-11","1.60766447812766e-07","8.03663525537865e-05","0.0971341960179249","2.22044604925031e-16","3.62772158917101e-05","4.68373162706777e-09","-497.838972605971","21.9200000000001"
"144","9.29548401643691e-16","4.39274171404359e-13","1.09182682096596e-06","11.2564613010973","3.311315003973","0.203639449317549","2.02573595627641e-05","-441.757950067818","32.2299999999996"
"145","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"146","NA","NA","NA","NA","NA","NA","NA","NA","0.220000000001164"
"147","NA","NA","NA","NA","NA","NA","NA","NA","0.210000000000946"
"148","0.00090914485844968","65.1606571674846","10200.0481874664","2.22044604925031e-16","4.70176882298949","54.7902507048122","0.0128654524821373","-338.911523547875","61.9599999999991"
"149","NA","NA","NA","NA","NA","NA","NA","NA","0.209999999999127"
"150","NA","NA","NA","NA","NA","NA","NA","NA","0.219999999999345"
"151","0.483466773481126","1162291.41680088","4.46059383428307e-07","19.7187441416641","3.31068375556157","0.000504177521492869","1.84623795888009e-07","-441.763340453461","34.3599999999988"
"152","NA","NA","NA","NA","NA","NA","NA","NA","0.209999999999127"
"153","NA","NA","NA","NA","NA","NA","NA","NA","0.219999999999345"
