"","param","quant","value","treat","rep","param2"
"315","p[3]","X97.5.",0.0591233387164866,"3","3.RDS","l"
"316","p[4]","X2.5.",0.757157423292432,"3","3.RDS","death1"
"317","p[4]","X25.",1.1748405941737,"3","3.RDS","death1"
"318","p[4]","X50.",1.4655342097646,"3","3.RDS","death1"
"319","p[4]","X75.",1.8470438844094,"3","3.RDS","death1"
"320","p[4]","X97.5.",2.77455492953335,"3","3.RDS","death1"
"321","p[5]","X2.5.",15.4951961169259,"3","3.RDS","f"
"322","p[5]","X25.",18.7144505567991,"3","3.RDS","f"
"323","p[5]","X50.",20.6323754738102,"3","3.RDS","f"
"324","p[5]","X75.",23.0791754644392,"3","3.RDS","f"
"325","p[5]","X97.5.",28.2929572125224,"3","3.RDS","f"
"326","p[1]","X2.5.",0.455394599861234,"3","4.RDS","a"
"327","p[1]","X25.",0.830605284475911,"3","4.RDS","a"
"328","p[1]","X50.",1.0337213629289,"3","4.RDS","a"
"329","p[1]","X75.",1.24787648040238,"3","4.RDS","a"
"330","p[1]","X97.5.",1.7467879674577,"3","4.RDS","a"
"331","p[2]","X2.5.",0.69840756898314,"3","4.RDS","k"
"332","p[2]","X25.",1.28571339094957,"3","4.RDS","k"
"333","p[2]","X50.",1.74370525614774,"3","4.RDS","k"
"334","p[2]","X75.",2.3444850930315,"3","4.RDS","k"
"335","p[2]","X97.5.",3.83082382091962,"3","4.RDS","k"
"336","p[3]","X2.5.",0.263377181167435,"3","4.RDS","l"
"337","p[3]","X25.",0.408531941283996,"3","4.RDS","l"
"338","p[3]","X50.",0.493062903489761,"3","4.RDS","l"
"339","p[3]","X75.",0.597158787529502,"3","4.RDS","l"
"340","p[3]","X97.5.",0.885586748179391,"3","4.RDS","l"
"341","p[4]","X2.5.",0.45054846716618,"3","4.RDS","death1"
"342","p[4]","X25.",0.788634673841408,"3","4.RDS","death1"
"343","p[4]","X50.",1.03369030729124,"3","4.RDS","death1"
"344","p[4]","X75.",1.34556888178605,"3","4.RDS","death1"
"345","p[4]","X97.5.",2.22999476674134,"3","4.RDS","death1"
"346","p[5]","X2.5.",1.36476077508952,"3","4.RDS","f"
