"","alpha","beta","pred_nh40","pred_chl0","gamma","loglik","ttime"
"42",2.22044604925031e-16,2.22044604925031e-16,2.4162178786437e-10,0.000651227491817418,2.22044604925031e-16,-563.98517860587,11.6499999999999
"43",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.10935008028634e-09,2.22044604925031e-16,-563.985317150914,11.8099999999999
"44",0.0044982380728734,18.350901955133,13,40,0.179147813025163,-651.957709554857,14.8399999999999
"45",2.22044604925031e-16,2.22044604925031e-16,4.78657273146848e-15,1.61076545328686e-09,2.22044604925031e-16,-563.985317151233,11.6600000000001
"46",0.00274074701738581,28.1513664648849,11.8139226932989,50.5806551516256,0.0490451501748894,-436.933500871518,28.4199999999998
"47",0.00554459909846454,15.6926190415258,13.6452196874784,40.148871398712,0.106531680491058,-431.401668959695,19.01
"48",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,6.42986067681813e-10,2.22044604925031e-16,-563.985317151438,11.76
"49",0.00558431629273092,15.4956257752335,13.700964349215,40.9313438152962,0.108007546648734,-431.396126915072,42.55
"50",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.67696898902272e-09,2.22044604925031e-16,-563.985317150793,11.6499999999999
"51",2.22044604925031e-16,2.22044604925031e-16,8.59220728512727e-10,0.00172970074946445,2.22044604925031e-16,-563.984949165342,11.79
"52",2.22044604925031e-16,2.22044604925031e-16,4.17086806616143e-16,4.32337685626164e-05,2.22044604925031e-16,-563.985307953858,11.6700000000001
"53",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.49105601552664e-08,2.22044604925031e-16,-563.985317142021,11.78
"54",2.22044604925031e-16,2.22044604925031e-16,1.23650392597517e-13,9.89635346529314e-05,2.22044604925031e-16,-563.985296097696,11.6599999999999
"55",0.00565316671863968,15.3717761019803,13.725491042614,40.4517120302662,0.109558902104188,-431.392258442264,47.3399999999999
"56",0.00558205255942358,15.5003380772374,13.6854817564494,40.7554966329168,0.108403359164526,-431.394328971053,21.5800000000002
"57",0.00312064037869801,26.0551173622746,12.2148759789344,45.3518072110077,0.0531412171467552,-435.673507787814,28.46
"58",0.00566599266237402,15.3194097412577,13.736626523329,40.5775304365365,0.109435767947744,-431.404281508293,18.9300000000001
"59",2.22044604925031e-16,2.22044604925031e-16,6.63166286511571e-16,1.02902135070602e-09,2.22044604925031e-16,-563.985317151356,11.78
"60",2.50439561488196e-14,2.22044604925031e-16,2.22044604925031e-16,9.33382278033018e-08,2.22044604925031e-16,-563.985317131718,11.6600000000001
"61",2.22044604925031e-16,2.22044604925031e-16,5.4147670510094e-11,1.42179209556435e-06,2.22044604925031e-16,-563.985316848813,11.8199999999999
"62",2.22044604925031e-16,2.22044604925031e-16,4.91882644416676e-13,6.784253399155e-06,2.22044604925031e-16,-563.985315708264,11.8299999999999
"63",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.37514478029407e-07,3.73623681946805e-16,-563.98531712232,11.6700000000001
"64",0.00559596687188951,15.4475490909571,13.7043948913786,40.972821837253,0.108385599832554,-431.397950101178,18.47
