IU_Barcode,Field_ID,Date,Date2,Replicate,Treatment,Dispersal,Salinity,Salinity_real,NH4um,NO3um,PO4um,Maple_dmass,Spartina_dmass,Phrag_dmass,Cmin,Sample..
CSI092,94,6/29/15,18,A,6,3,5,5.58,NA,NA,NA,2.04,1.82,5.01,54.99,A_6_11JUN15
CSI093,95,6/29/15,18,A,7,2,9,10.06,NA,NA,NA,1.28,1.14,5.2,155.17,A_7_11JUN15
CSI094,96,6/29/15,18,A,8,3,9,10.11,NA,NA,NA,1.39,0.47,4.01,0,A_8_11JUN15
CSI095,97,6/29/15,18,A,9,2,13,12.17,NA,NA,NA,1.07,0.83,0.79,3.9,A_9_11JUN15
CSI096,98,6/29/15,18,A,10,3,13,13.6,NA,NA,NA,2.23,1.66,5.48,81.56,A_10_11JUN15
CSI097,99,6/29/15,18,A,11,2,0,0.43,NA,NA,NA,2.52,1.85,5.2,166.85,A_11_11JUN15
CSI101,103,6/29/15,18,B,4,3,0,0.48,NA,NA,NA,1.7,1.75,5.17,70.73,B_4_11JUN15
CSI102,104,6/29/15,18,B,5,2,5,6.48,NA,NA,NA,1.85,1.93,6.52,11.7,B_5_11JUN15
CSI103,105,6/29/15,18,B,6,3,5,5.76,NA,NA,NA,1.89,1.56,4.3,3.96,B_6_11JUN15
CSI104,107,6/29/15,18,B,8,3,9,9.1,NA,NA,NA,1.76,1.62,5.47,14.48,B_8_11JUN15
CSI105,108,6/29/15,18,B,9,2,13,14.29,NA,NA,NA,1.69,1.41,2.84,30.5,B_9_11JUN15
CSI106,109,6/29/15,18,B,10,3,13,13.25,NA,NA,NA,1.67,1.51,4.67,58.35,B_10_11JUN15
CSI107,110,6/29/15,18,B,11,2,0,0.41,NA,NA,NA,2.1,1.88,5.55,26.49,B_11_11JUN15
CSI111,114,6/29/15,18,C,4,3,0,0.45,NA,NA,NA,2.89,2.4,7.26,73.4,C_4_12JUN15
CSI112,115,6/29/15,18,C,5,2,5,5.38,NA,NA,NA,2.08,1.83,5.19,77.25,C_5_12JUN15
CSI113,116,6/29/15,18,C,6,3,5,5.68,NA,NA,NA,1.9,1.7,5.42,8.08,C_6_12JUN15
CSI114,117,6/29/15,18,C,7,2,9,8.58,NA,NA,NA,1.43,1.39,5.52,1.18,C_7_12JUN15
CSI115,118,6/29/15,18,C,8,3,9,8.76,NA,NA,NA,1.86,1.57,4.53,1.85,C_8_12JUN15
CSI116,119,6/29/15,18,C,9,2,13,13.78,NA,NA,NA,2.03,1.57,4.94,52.41,C_9_12JUN15
CSI117,120,6/29/15,18,C,10,3,13,12.16,NA,NA,NA,1.41,1.63,5.27,13.56,C_10_12JUN15
CSI118,121,6/29/15,18,C,11,2,0,0.43,NA,NA,NA,2.67,2.45,7.24,58.58,C_11_12JUN15
CSI122,125,6/29/15,18,D,4,3,0,0.43,NA,NA,NA,2.19,2.05,5.7,189,D_4_12JUN15
CSI123,126,6/29/15,18,D,5,2,5,5.28,NA,NA,NA,1.91,1.69,2.91,0.73,D_5_12JUN15
CSI124,127,6/29/15,18,D,6,3,5,5.58,NA,NA,NA,2.13,1.93,6.24,37.37,D_6_12JUN15
CSI125,128,6/29/15,18,D,7,2,9,8.92,NA,NA,NA,2.4,1.51,5.56,18.14,D_7_12JUN15
CSI126,129,6/29/15,18,D,8,3,9,9.49,NA,NA,NA,2.24,1.51,5.3,5.8,D_8_12JUN15
CSI127,130,6/29/15,18,D,9,2,13,13.56,NA,NA,NA,1.94,1.14,4.2,10.11,D_9_12JUN15
CSI128,131,6/29/15,18,D,10,3,13,13.57,NA,NA,NA,2.03,1.41,4.54,35.26,D_10_12JUN15
CSI129,132,6/29/15,18,D,11,2,0,0.38,NA,NA,NA,2.02,2.13,1.66,100.9,D_11_12JUN15
