IU_Barcode,CSI_ID,Date,Date2,Replicate,Number,Tank_Name,Salinity,Dispersal
CSI102,ECU_CSI_104,29-Jun-15,18,B,5,B5_2015-June29,5,2
CSI103,ECU_CSI_105,29-Jun-15,18,B,6,B6_2015-June29,5,3
CSI104,ECU_CSI_107,29-Jun-15,18,B,8,B8_2015-June29,9,3
CSI105,ECU_CSI_108,29-Jun-15,18,B,9,B9_2015-June29,13,2
CSI106,ECU_CSI_109,29-Jun-15,18,B,10,B10_2015-June29,13,3
CSI107,ECU_CSI_110,29-Jun-15,18,B,11,B11_2015-June29,0,2
CSI108,ECU_CSI_111,29-Jun-15,18,C,1,C1_2015-June29,13,Source13
CSI109,ECU_CSI_112,29-Jun-15,18,C,2,C2_2015-June29,0,Source0
CSI110,ECU_CSI_113,29-Jun-15,18,C,3,C3_2015-June29,0,Control00
CSI111,ECU_CSI_114,29-Jun-15,18,C,4,C4_2015-June29,0,3
CSI112,ECU_CSI_115,29-Jun-15,18,C,5,C5_2015-June29,5,2
CSI113,ECU_CSI_116,29-Jun-15,18,C,6,C6_2015-June29,5,3
CSI114,ECU_CSI_117,29-Jun-15,18,C,7,C7_2015-June29,9,2
CSI115,ECU_CSI_118,29-Jun-15,18,C,8,C8_2015-June29,9,3
CSI116,ECU_CSI_119,29-Jun-15,18,C,9,C9_2015-June29,13,2
CSI117,ECU_CSI_120,29-Jun-15,18,C,10,C10_2015-June29,13,3
CSI118,ECU_CSI_121,29-Jun-15,18,C,11,C11_2015-June29,0,2
CSI119,ECU_CSI_122,29-Jun-15,18,D,1,D1_2015-June29,13,Source13
CSI120,ECU_CSI_123,29-Jun-15,18,D,2,D2_2015-June29,0,Source0
CSI121,ECU_CSI_124,29-Jun-15,18,D,3,D3_2015-June29,0,Control00
CSI122,ECU_CSI_125,29-Jun-15,18,D,4,D4_2015-June29,0,3
CSI123,ECU_CSI_126,29-Jun-15,18,D,5,D5_2015-June29,5,2
CSI124,ECU_CSI_127,29-Jun-15,18,D,6,D6_2015-June29,5,3
CSI125,ECU_CSI_128,29-Jun-15,18,D,7,D7_2015-June29,9,2
CSI126,ECU_CSI_129,29-Jun-15,18,D,8,D8_2015-June29,9,3
CSI127,ECU_CSI_130,29-Jun-15,18,D,9,D9_2015-June29,13,2
CSI128,ECU_CSI_131,29-Jun-15,18,D,10,D10_2015-June29,13,3
CSI129,ECU_CSI_132,29-Jun-15,18,D,11,D11_2015-June29,0,2
CSI130,mock community,NA,NA,NA,NA,NA,NA,NA
